id,category
1,Open Ended Schemes ( Growth )
2,Open Ended Schemes ( Liquid )
3,Open Ended Schemes ( Money Market )
4,Open Ended Schemes ( ELSS )
5,Open Ended Schemes ( Equity Scheme - Multi Cap Fund )
6,Open Ended Schemes ( Equity Scheme - Large Cap Fund )
7,Open Ended Schemes ( Equity Scheme - Large & Mid Cap Fund )
8,Open Ended Schemes ( Equity Scheme - Mid Cap Fund )
9,Open Ended Schemes ( Equity Scheme - Small Cap Fund )
10,Open Ended Schemes ( Equity Scheme - Dividend Yield Fund )
11,Open Ended Schemes ( Equity Scheme - Value Fund )
12,Open Ended Schemes ( Equity Scheme - Contra Fund )
13,Open Ended Schemes ( Equity Scheme - Focused Fund )
14,Open Ended Schemes ( Equity Scheme - Sectoral/ Thematic )
15,Open Ended Schemes ( Equity Scheme - ELSS )
16,Open Ended Schemes ( Debt Scheme - Overnight Fund )
17,Open Ended Schemes ( Debt Scheme - Liquid Fund )
18,Open Ended Schemes ( Debt Scheme - Ultra Short Duration Fund )
19,Open Ended Schemes ( Debt Scheme - Low Duration Fund )
20,Open Ended Schemes ( Debt Scheme - Money Market Fund )
21,Open Ended Schemes ( Debt Scheme - Short Duration Fund )
22,Open Ended Schemes ( Debt Scheme - Medium Duration Fund )
23,Open Ended Schemes ( Debt Scheme - Medium to Long Duration Fund )
24,Open Ended Schemes ( Debt Scheme - Long Duration Fund )
25,Open Ended Schemes ( Debt Scheme - Dynamic Bond )
26,Open Ended Schemes ( Debt Scheme - Corporate Bond Fund )
27,Open Ended Schemes ( Debt Scheme - Credit Risk Fund )
28,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund )
29,Open Ended Schemes ( Debt Scheme - Gilt Fund )
30,Open Ended Schemes ( Debt Scheme - Gilt Fund with 10 year constant duration )
31,Open Ended Schemes ( Debt Scheme - Floater Fund )
32,Open Ended Schemes ( Hybrid Scheme - Conservative Hybrid Fund )
33,Open Ended Schemes ( Hybrid Scheme - Balanced Hybrid Fund )
34,Open Ended Schemes ( Hybrid Scheme - Aggressive Hybrid Fund )
35,Open Ended Schemes ( Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage )
36,Open Ended Schemes ( Hybrid Scheme - Multi Asset Allocation )
37,Open Ended Schemes ( Hybrid Scheme - Arbitrage Fund )
38,Open Ended Schemes ( Hybrid Scheme - Equity Savings )
39,Open Ended Schemes ( Solution Oriented Scheme - Retirement Fund )
40,Open Ended Schemes ( Solution Oriented Scheme - Childrenâ€™s Fund )
41,Open Ended Schemes ( Other Scheme - Index Funds )
42,Open Ended Schemes ( Other Scheme - Gold ETF )
43,Open Ended Schemes ( Other Scheme - Other  ETFs )
44,Open Ended Schemes ( Other Scheme - FoF Overseas )
45,Open Ended Schemes ( Other Scheme - FoF Domestic )
46,Open Ended Schemes ( Equity Scheme - Flexi Cap Fund )
47,Close Ended Schemes ( Income )
48,Close Ended Schemes ( Growth )
49,Close Ended Schemes ( ELSS )
50,Interval Fund Schemes ( Income )
51,Interval Fund Schemes ( Growth )
